YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,AR,"Combined Heat and Power, Industrial Power",Natural Gas,692117.00,,,,,,
1990,AR,"Combined Heat and Power, Industrial Power",Other Biomass,10560.00,,,,,,
1990,AR,"Combined Heat and Power, Industrial Power",Petroleum,3121.00,,,,,,
1990,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1238044.00,,,,,,
1990,AR,"Combined Heat and Power, Commercial Power",Total,55374.00,,,,,,
1990,AR,"Combined Heat and Power, Commercial Power",Natural Gas,47543.00,,,,,,
1990,AR,"Combined Heat and Power, Commercial Power",Other Biomass,4829.00,,,,,,
1990,AR,"Combined Heat and Power, Commercial Power",Petroleum,3002.00,,,,,,
1990,AZ,Total Electric Power Industry,Total,62774297.00,,,,,,
1990,AZ,Total Electric Power Industry,Coal,31915610.00,,,,,,
1990,AZ,Total Electric Power Industry,Hydroelectric Conventional,7417576.00,,,,,,
1990,AZ,Total Electric Power Industry,Natural Gas,2333900.00,,,,,,
1990,AZ,Total Electric Power Industry,Nuclear,20597689.00,,,,,,
1990,AZ,Total Electric Power Industry,Petroleum,151867.00,,,,,,
1990,AZ,Total Electric Power Industry,Pumped Storage,249767.00,,,,,,
1990,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,107888.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Total,62288980.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Coal,31636037.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,7417576.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Natural Gas,2271504.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Nuclear,20597689.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Petroleum,116407.00,,,,,,
1990,AZ,"Electric Generators, Electric Utilities",Pumped Storage,249767.00,,,,,,
1990,AZ,"Combined Heat and Power, Industrial Power",Total,455233.00,,,,,,
1990,AZ,"Combined Heat and Power, Industrial Power",Coal,279573.00,,,,,,
1990,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,33526.00,,,,,,
1990,AZ,"Combined Heat and Power, Industrial Power",Petroleum,34246.00,,,,,,
1990,AZ,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,107888.00,,,,,,
1990,AZ,"Combined Heat and Power, Commercial Power",Total,30084.00,,,,,,
1990,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,28870.00,,,,,,
1990,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1214.00,,,,,,
1990,CA,Total Electric Power Industry,Total,165784909.00,,,,,,
1990,CA,Total Electric Power Industry,Coal,2637677.00,,,,,,
1990,CA,Total Electric Power Industry,Geothermal,14521254.00,,,,,,
1990,CA,Total Electric Power Industry,Hydroelectric Conventional,23792567.00,,,,,,
1990,CA,Total Electric Power Industry,Natural Gas,74168308.00,,,,,,
1990,CA,Total Electric Power Industry,Nuclear,32692807.00,,,,,,
1990,CA,Total Electric Power Industry,Other,0.00,,,,,,
1990,CA,Total Electric Power Industry,Other Biomass,2117915.00,,,,,,
1990,CA,Total Electric Power Industry,Other Gases,2146742.00,,,,,,
1990,CA,Total Electric Power Industry,Petroleum,5473852.00,,,,,,
1990,CA,Total Electric Power Industry,Pumped Storage,986252.00,,,,,,
1990,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,366668.00,,,,,,
1990,CA,Total Electric Power Industry,Wind,2758881.00,,,,,,
1990,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,4121986.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Total,15407378.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Coal,111785.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Geothermal,6091851.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,976870.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Natural Gas,383704.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Other Biomass,1931950.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Other Gases,323.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Petroleum,431308.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,364639.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Wind,2758838.00,,,,,,
1990,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,2356110.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Total,114528000.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Geothermal,8429403.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,22808272.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Natural Gas,45221848.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Nuclear,32692807.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Other Biomass,2111.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Petroleum,4385235.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Pumped Storage,986252.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2029.00,,,,,,
1990,CA,"Electric Generators, Electric Utilities",Wind,43.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Total,16572153.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Coal,1024772.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Natural Gas,11100821.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Other,0.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Other Biomass,65528.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Other Gases,2025432.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Petroleum,635949.00,,,,,,
1990,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1719651.00,,,,,,
1990,CA,"Combined Heat and Power, Electric Power",Total,17547076.00,,,,,,
1990,CA,"Combined Heat and Power, Electric Power",Coal,1501120.00,,,,,,
1990,CA,"Combined Heat and Power, Electric Power",Natural Gas,15899278.00,,,,,,
1990,CA,"Combined Heat and Power, Electric Power",Other Biomass,91472.00,,,,,,
1990,CA,"Combined Heat and Power, Electric Power",Petroleum,8981.00,,,,,,
1990,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,46225.00,,,,,,
1990,CA,"Combined Heat and Power, Commercial Power",Total,1730302.00,,,,,,
1990,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,7425.00,,,,,,
1990,CA,"Combined Heat and Power, Commercial Power",Natural Gas,1562657.00,,,,,,
1990,CA,"Combined Heat and Power, Commercial Power",Other Biomass,26854.00,,,,,,
1990,CA,"Combined Heat and Power, Commercial Power",Other Gases,120987.00,,,,,,
1990,CA,"Combined Heat and Power, Commercial Power",Petroleum,12379.00,,,,,,
1990,CO,Total Electric Power Industry,Total,32548127.00,,,,,,
1990,CO,Total Electric Power Industry,Coal,29814983.00,,,,,,
1990,CO,Total Electric Power Industry,Hydroelectric Conventional,1419870.00,,,,,,
1990,CO,Total Electric Power Industry,Natural Gas,1290092.00,,,,,,
1990,CO,Total Electric Power Industry,Other Biomass,28990.00,,,,,,
1990,CO,Total Electric Power Industry,Petroleum,27390.00,,,,,,
1990,CO,Total Electric Power Industry,Pumped Storage,-33198.00,,,,,,
1990,CO,"Electric Generators, Independent Power Producers",Total,225959.00,,,,,,
1990,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,110909.00,,,,,,
1990,CO,"Electric Generators, Independent Power Producers",Natural Gas,115050.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Total,31312872.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Coal,29602738.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1308961.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Natural Gas,409078.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Other Biomass,164.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Petroleum,25129.00,,,,,,
1990,CO,"Electric Generators, Electric Utilities",Pumped Storage,-33198.00,,,,,,
1990,CO,"Combined Heat and Power, Industrial Power",Total,53888.00,,,,,,
1990,CO,"Combined Heat and Power, Industrial Power",Natural Gas,51627.00,,,,,,
1990,CO,"Combined Heat and Power, Industrial Power",Petroleum,2261.00,,,,,,
1990,CO,"Combined Heat and Power, Electric Power",Total,930200.00,,,,,,
1990,CO,"Combined Heat and Power, Electric Power",Coal,212245.00,,,,,,
1990,CO,"Combined Heat and Power, Electric Power",Natural Gas,714337.00,,,,,,
1990,CO,"Combined Heat and Power, Electric Power",Other Biomass,3618.00,,,,,,
1990,CO,"Combined Heat and Power, Commercial Power",Total,25208.00,,,,,,
1990,CO,"Combined Heat and Power, Commercial Power",Other Biomass,25208.00,,,,,,
1990,CT,Total Electric Power Industry,Total,35147247.00,,,,,,
1990,CT,Total Electric Power Industry,Coal,3594645.00,,,,,,
1990,CT,Total Electric Power Industry,Hydroelectric Conventional,570619.00,,,,,,
1990,CT,Total Electric Power Industry,Natural Gas,1251479.00,,,,,,
1990,CT,Total Electric Power Industry,Nuclear,19776250.00,,,,,,
1990,CT,Total Electric Power Industry,Other,0.00,,,,,,
1990,CT,Total Electric Power Industry,Other Biomass,1073310.00,,,,,,
1990,CT,Total Electric Power Industry,Other Gases,4.00,,,,,,
1990,CT,Total Electric Power Industry,Petroleum,8874466.00,,,,,,
1990,CT,Total Electric Power Industry,Pumped Storage,6474.00,,,,,,
1990,CT,"Electric Generators, Independent Power Producers",Total,672825.00,,,,,,
1990,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,67239.00,,,,,,
1990,CT,"Electric Generators, Independent Power Producers",Other Biomass,605586.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Total,32155574.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Coal,2351049.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,495848.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Natural Gas,471836.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Nuclear,19776250.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Other Biomass,421546.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Petroleum,8632571.00,,,,,,
1990,CT,"Electric Generators, Electric Utilities",Pumped Storage,6474.00,,,,,,
1990,CT,"Combined Heat and Power, Industrial Power",Total,190315.00,,,,,,
1990,CT,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,7532.00,,,,,,
1990,CT,"Combined Heat and Power, Industrial Power",Natural Gas,10612.00,,,,,,
1990,CT,"Combined Heat and Power, Industrial Power",Other,0.00,,,,,,
1990,CT,"Combined Heat and Power, Industrial Power",Petroleum,172171.00,,,,,,
1990,CT,"Combined Heat and Power, Electric Power",Total,1986751.00,,,,,,
1990,CT,"Combined Heat and Power, Electric Power",Coal,1243596.00,,,,,,
1990,CT,"Combined Heat and Power, Electric Power",Natural Gas,654360.00,,,,,,
1990,CT,"Combined Heat and Power, Electric Power",Other Biomass,46178.00,,,,,,
1990,CT,"Combined Heat and Power, Electric Power",Other Gases,4.00,,,,,,
1990,CT,"Combined Heat and Power, Electric Power",Petroleum,42613.00,,,,,,
1990,CT,"Combined Heat and Power, Commercial Power",Total,141782.00,,,,,,
1990,CT,"Combined Heat and Power, Commercial Power",Natural Gas,114671.00,,,,,,
1990,CT,"Combined Heat and Power, Commercial Power",Petroleum,27111.00,,,,,,
1990,DC,Total Electric Power Industry,Total,361043.00,,,,,,
1990,DC,Total Electric Power Industry,Coal,0.00,,,,,,
1990,DC,Total Electric Power Industry,Petroleum,361043.00,,,,,,
1990,DC,"Electric Generators, Electric Utilities",Total,361043.00,,,,,,
1990,DC,"Electric Generators, Electric Utilities",Petroleum,361043.00,,,,,,
1990,DC,"Combined Heat and Power, Commercial Power",Total,0.00,,,,,,
1990,DC,"Combined Heat and Power, Commercial Power",Coal,0.00,,,,,,
1990,DE,Total Electric Power Industry,Total,7841500.00,,,,,,
1990,DE,Total Electric Power Industry,Coal,5113479.00,,,,,,
1990,DE,Total Electric Power Industry,Natural Gas,763019.00,,,,,,
1990,DE,Total Electric Power Industry,Other,6315.00,,,,,,
1990,DE,Total Electric Power Industry,Other Gases,164881.00,,,,,,
1990,DE,Total Electric Power Industry,Petroleum,1793806.00,,,,,,
1990,DE,"Electric Generators, Electric Utilities",Total,7099663.00,,,,,,
1990,DE,"Electric Generators, Electric Utilities",Coal,4904473.00,,,,,,
1990,DE,"Electric Generators, Electric Utilities",Natural Gas,759004.00,,,,,,
1990,DE,"Electric Generators, Electric Utilities",Petroleum,1436186.00,,,,,,
1990,DE,"Combined Heat and Power, Industrial Power",Total,741837.00,,,,,,
1990,DE,"Combined Heat and Power, Industrial Power",Coal,209006.00,,,,,,
1990,DE,"Combined Heat and Power, Industrial Power",Natural Gas,4015.00,,,,,,
1990,DE,"Combined Heat and Power, Industrial Power",Other,6315.00,,,,,,
1990,DE,"Combined Heat and Power, Industrial Power",Other Gases,164881.00,,,,,,
1990,DE,"Combined Heat and Power, Industrial Power",Petroleum,357620.00,,,,,,
1990,FL,Total Electric Power Industry,Total,131502553.00,,,,,,
1990,FL,Total Electric Power Industry,Coal,60100257.00,,,,,,
1990,FL,Total Electric Power Industry,Hydroelectric Conventional,174604.00,,,,,,
1990,FL,Total Electric Power Industry,Natural Gas,18642683.00,,,,,,
1990,FL,Total Electric Power Industry,Nuclear,21779560.00,,,,,,
1990,FL,Total Electric Power Industry,Other,1453102.00,,,,,,
1990,FL,Total Electric Power Industry,Other Biomass,1673078.00,,,,,,
1990,FL,Total Electric Power Industry,Petroleum,25535138.00,,,,,,
1990,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,2144131.00,,,,,,
1990,FL,"Electric Generators, Independent Power Producers",Total,1695776.00,,,,,,
1990,FL,"Electric Generators, Independent Power Producers",Natural Gas,1166.00,,,,,,
1990,FL,"Electric Generators, Independent Power Producers",Other Biomass,1542643.00,,,,,,
1990,FL,"Electric Generators, Independent Power Producers",Petroleum,769.00,,,,,,
1990,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,151198.00,,,,,,
1990,FL,"Electric Generators, Electric Utilities",Total,123623905.00,,,,,,
1990,FL,"Electric Generators, Electric Utilities",Coal,59073203.00,,,,,,
1990,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,174604.00,,,,,,
1990,FL,"Electric Generators, Electric Utilities",Natural Gas,17504242.00,,,,,,
1990,FL,"Electric Generators, Electric Utilities",Nuclear,21779560.00,,,,,,
1990,FL,"Electric Generators, Electric Utilities",Petroleum,25092296.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Total,5290804.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Coal,383736.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Natural Gas,928175.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Other,1453102.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Other Biomass,97705.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Petroleum,435153.00,,,,,,
1990,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1992933.00,,,,,,
1990,FL,"Combined Heat and Power, Electric Power",Total,647307.00,,,,,,
1990,FL,"Combined Heat and Power, Electric Power",Coal,643318.00,,,,,,
1990,FL,"Combined Heat and Power, Electric Power",Petroleum,3989.00,,,,,,
1990,FL,"Combined Heat and Power, Commercial Power",Total,244761.00,,,,,,
1990,FL,"Combined Heat and Power, Commercial Power",Natural Gas,209100.00,,,,,,
1990,FL,"Combined Heat and Power, Commercial Power",Other Biomass,32730.00,,,,,,
1990,FL,"Combined Heat and Power, Commercial Power",Petroleum,2931.00,,,,,,
1990,GA,Total Electric Power Industry,Total,102686240.00,,,,,,
1990,GA,Total Electric Power Industry,Coal,68545692.00,,,,,,
1990,GA,Total Electric Power Industry,Hydroelectric Conventional,4589117.00,,,,,,
1990,GA,Total Electric Power Industry,Natural Gas,830180.00,,,,,,
1990,GA,Total Electric Power Industry,Nuclear,24796884.00,,,,,,
1990,GA,Total Electric Power Industry,Other,1.00,,,,,,
1990,GA,Total Electric Power Industry,Other Biomass,135457.00,,,,,,
1990,GA,Total Electric Power Industry,Petroleum,499480.00,,,,,,
1990,GA,Total Electric Power Industry,Pumped Storage,342110.00,,,,,,
1990,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,2947319.00,,,,,,
1990,GA,"Electric Generators, Independent Power Producers",Total,8021.00,,,,,,
1990,GA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,7982.00,,,,,,
1990,GA,"Electric Generators, Independent Power Producers",Natural Gas,24.00,,,,,,
1990,GA,"Electric Generators, Independent Power Producers",Petroleum,15.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Total,97565058.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Coal,67564750.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,4544712.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Natural Gas,151615.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Nuclear,24796884.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Petroleum,164987.00,,,,,,
1990,GA,"Electric Generators, Electric Utilities",Pumped Storage,342110.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Total,5110380.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Coal,980942.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,36423.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Natural Gas,678423.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Other,1.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Other Biomass,135457.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Petroleum,331815.00,,,,,,
1990,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2947319.00,,,,,,
1990,GA,"Combined Heat and Power, Commercial Power",Total,2781.00,,,,,,
1990,GA,"Combined Heat and Power, Commercial Power",Natural Gas,118.00,,,,,,
1990,GA,"Combined Heat and Power, Commercial Power",Petroleum,2663.00,,,,,,
1990,HI,Total Electric Power Industry,Total,9702752.00,,,,,,
1990,HI,Total Electric Power Industry,Coal,2381.00,,,,,,
1990,HI,Total Electric Power Industry,Geothermal,0.00,,,,,,
1990,HI,Total Electric Power Industry,Hydroelectric Conventional,79516.00,,,,,,
1990,HI,Total Electric Power Industry,Other Biomass,840005.00,,,,,,
1990,HI,Total Electric Power Industry,Other Gases,16163.00,,,,,,
1990,HI,Total Electric Power Industry,Petroleum,8735862.00,,,,,,
1990,HI,Total Electric Power Industry,Wind,28825.00,,,,,,
1990,HI,"Electric Generators, Independent Power Producers",Total,385510.00,,,,,,
1990,HI,"Electric Generators, Independent Power Producers",Other Biomass,342851.00,,,,,,
1990,HI,"Electric Generators, Independent Power Producers",Petroleum,13834.00,,,,,,
1990,HI,"Electric Generators, Independent Power Producers",Wind,28825.00,,,,,,
1990,HI,"Electric Generators, Electric Utilities",Total,7996096.00,,,,,,
1990,HI,"Electric Generators, Electric Utilities",Geothermal,0.00,,,,,,
1990,HI,"Electric Generators, Electric Utilities",Hydroelectric Conventional,22743.00,,,,,,
1990,HI,"Electric Generators, Electric Utilities",Other Biomass,5999.00,,,,,,
1990,HI,"Electric Generators, Electric Utilities",Petroleum,7967354.00,,,,,,
1990,HI,"Combined Heat and Power, Industrial Power",Total,778856.00,,,,,,
1990,HI,"Combined Heat and Power, Industrial Power",Coal,1196.00,,,,,,
1990,HI,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,56773.00,,,,,,
1990,HI,"Combined Heat and Power, Industrial Power",Other Biomass,407991.00,,,,,,
1990,HI,"Combined Heat and Power, Industrial Power",Other Gases,16163.00,,,,,,
1990,HI,"Combined Heat and Power, Industrial Power",Petroleum,296733.00,,,,,,
1990,HI,"Combined Heat and Power, Electric Power",Total,542290.00,,,,,,
1990,HI,"Combined Heat and Power, Electric Power",Coal,1185.00,,,,,,
1990,HI,"Combined Heat and Power, Electric Power",Other Biomass,83164.00,,,,,,
1990,HI,"Combined Heat and Power, Electric Power",Petroleum,457941.00,,,,,,
1990,IA,Total Electric Power Industry,Total,30044506.00,,,,,,
1990,IA,Total Electric Power Industry,Coal,25751941.00,,,,,,
1990,IA,Total Electric Power Industry,Hydroelectric Conventional,875114.00,,,,,,
1990,IA,Total Electric Power Industry,Natural Gas,333390.00,,,,,,
1990,IA,Total Electric Power Industry,Nuclear,3011572.00,,,,,,
1990,IA,Total Electric Power Industry,Other Biomass,18018.00,,,,,,
1990,IA,Total Electric Power Industry,Petroleum,54471.00,,,,,,
1990,IA,"Electric Generators, Independent Power Producers",Total,19955.00,,,,,,
1990,IA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,18266.00,,,,,,
1990,IA,"Electric Generators, Independent Power Producers",Natural Gas,1392.00,,,,,,
1990,IA,"Electric Generators, Independent Power Producers",Petroleum,297.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Total,29047940.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Coal,24879567.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,856848.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Natural Gas,231263.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Nuclear,3011572.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Other Biomass,17375.00,,,,,,
1990,IA,"Electric Generators, Electric Utilities",Petroleum,51315.00,,,,,,
1990,IA,"Combined Heat and Power, Industrial Power",Total,835446.00,,,,,,
1990,IA,"Combined Heat and Power, Industrial Power",Coal,757340.00,,,,,,
1990,IA,"Combined Heat and Power, Industrial Power",Natural Gas,74960.00,,,,,,
1990,IA,"Combined Heat and Power, Industrial Power",Other Biomass,643.00,,,,,,
1990,IA,"Combined Heat and Power, Industrial Power",Petroleum,2503.00,,,,,,
1990,IA,"Combined Heat and Power, Electric Power",Total,123970.00,,,,,,
1990,IA,"Combined Heat and Power, Electric Power",Coal,103126.00,,,,,,
